name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description,stations,source
"Kandy, Sri Lanka",2023-08-24,89.5,70.4,78,92.8,70.4,78.8,66.8,70.5,0.016,100,12.5,rain,44.6,14.1,271,23.3,9,2023-08-24T06:00:44,2023-08-24T18:19:10,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-08-25,90.4,67.2,77.5,95.5,67.2,78.5,65.9,69.5,0.004,100,4.17,rain,44.9,14.1,289.1,24.8,10,2023-08-25T06:00:39,2023-08-25T18:18:43,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-08-26,90.9,69.3,78.8,94.7,69.3,79.9,67.4,70.7,0.024,100,20.83,rain,62.6,14,266.1,22.8,9,2023-08-26T06:00:33,2023-08-26T18:18:15,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-08-27,89.1,70.7,78.6,94.4,70.7,79.7,68,71.9,0.007,100,8.33,rain,48.6,14.1,269,23.3,10,2023-08-27T06:00:28,2023-08-27T18:17:46,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-08-28,87.3,72.1,78.2,92.9,72.1,79.1,68.2,72.8,0.004,100,8.33,rain,52,13.8,263.3,22.6,9,2023-08-28T06:00:22,2023-08-28T18:17:18,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-08-29,85.1,70.4,75.9,90.9,70.4,76.6,68.5,79,0.949,100,20.83,rain,95.7,13.6,243,21.1,9,2023-08-29T06:00:15,2023-08-29T18:16:49,0.44,"Rain, Overcast",Cloudy skies throughout the day with rain.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-08-30,83,70.2,76,87.9,70.2,76.8,69.1,80.1,0.018,100,12.5,rain,97.7,14.1,158.5,13.8,7,2023-08-30T06:00:09,2023-08-30T18:16:19,0.47,"Rain, Overcast",Cloudy skies throughout the day with rain.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-08-31,83.6,71,75.9,89.5,71,76.6,69.8,82.3,0.137,100,25,rain,93.4,13.2,193.3,16.7,8,2023-08-31T06:00:02,2023-08-31T18:15:49,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-09-01,83.2,70.2,75.2,86,70.2,75.6,69.4,83.1,0.01,100,20.83,rain,90.3,12.6,206.5,17.8,8,2023-09-01T05:59:54,2023-09-01T18:15:19,0.54,"Rain, Overcast",Cloudy skies throughout the day with rain.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-09-02,81.2,71.1,75,84.9,71.1,75.4,70.3,85.8,0.074,100,29.17,rain,88.5,12.9,120.8,10.5,5,2023-09-02T05:59:47,2023-09-02T18:14:48,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-09-03,77.4,70.6,73.3,77.4,70.6,73.3,69.9,89.2,0.562,100,33.33,rain,91.8,12.7,85.8,7.3,4,2023-09-03T05:59:39,2023-09-03T18:14:17,0.61,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-09-04,80.7,69.9,73.8,84.3,69.9,74.1,69.1,85.6,1.255,100,29.17,rain,95.3,10.5,109.9,9.4,4,2023-09-04T05:59:31,2023-09-04T18:13:46,0.64,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-09-05,80.6,70.6,74.7,84.4,70.6,75,69.5,84,0.217,100,29.17,rain,90,14.1,152.4,13.1,5,2023-09-05T05:59:23,2023-09-05T18:13:15,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-09-06,80.1,70.1,73.8,83.8,70.1,74,70.1,88.3,0.145,100,33.33,rain,96.2,13.9,163.2,13.9,6,2023-09-06T05:59:15,2023-09-06T18:12:43,0.71,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-09-07,76.9,69.5,73.1,76.9,69.5,73.1,69.6,89.1,0.196,100,29.17,rain,94.9,14,172.8,15,7,2023-09-07T05:59:06,2023-09-07T18:12:11,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-09-08,82.8,68.3,74.6,86.6,68.3,75.3,68.3,81.8,0.379,100,12.5,rain,85.5,14,231,19.9,8,2023-09-08T05:58:58,2023-09-08T18:11:38,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-09-09,85,70.8,76.4,89.2,70.8,77.3,68.5,77.2,0.025,100,12.5,rain,76.7,14.1,234.4,20.1,9,2023-09-09T05:58:49,2023-09-09T18:11:06,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-09-10,82.5,70.6,75.4,87.4,70.6,76.1,68.5,79.8,0.02,100,16.67,rain,91.9,13.2,207.7,17.8,8,2023-09-10T05:58:40,2023-09-10T18:10:33,0.84,"Rain, Overcast",Cloudy skies throughout the day with rain.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-09-11,80.4,70.2,73.7,83.9,70.2,74,68.9,85.4,0.258,100,20.83,rain,89.1,13.3,196.5,17,8,2023-09-11T05:58:31,2023-09-11T18:10:01,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-09-12,83.2,69.9,75.8,87.9,69.9,76.8,68.6,79.4,0.003,100,8.33,rain,93.4,13.9,219.5,18.9,9,2023-09-12T05:58:21,2023-09-12T18:09:28,0.91,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-09-13,83.3,70.1,75.7,88.4,70.1,76.4,69.3,81.3,0.019,100,16.67,rain,83.6,13.7,220.5,18.9,9,2023-09-13T05:58:12,2023-09-13T18:08:55,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-09-14,80.1,71,74.3,83.9,71,74.5,69.7,86.1,0.717,100,33.33,rain,86.2,12,195.3,16.8,7,2023-09-14T05:58:03,2023-09-14T18:08:21,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-09-15,84.1,68.6,75,87.4,68.6,75.7,67.7,79.3,0.004,100,8.33,rain,74.2,14.1,245.3,21,9,2023-09-15T05:57:53,2023-09-15T18:07:48,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-09-16,87.3,68.8,76.8,91.2,68.8,77.6,67.4,74.4,0.008,100,8.33,rain,58.3,14,237.8,20.5,9,2023-09-16T05:57:44,2023-09-16T18:07:15,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-09-17,85,69.2,75.8,89.8,69.2,76.4,68.9,80.4,0.029,100,8.33,rain,70.3,13,220.1,18.8,8,2023-09-17T05:57:34,2023-09-17T18:06:41,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-09-18,79.3,70.4,73.4,79.3,70.4,73.4,69.4,87.8,0.053,100,16.67,rain,94.8,13.3,109,9.4,6,2023-09-18T05:57:25,2023-09-18T18:06:08,0.11,"Rain, Overcast",Cloudy skies throughout the day with rain.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-09-19,83.1,69,73.6,88.2,69,74.1,69,86.2,0.031,100,16.67,rain,90.2,11.8,219.5,18.9,8,2023-09-19T05:57:15,2023-09-19T18:05:35,0.15,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
